beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
sparse,exponential,100.000,20,0,0,min,0.0131015964126614,0.0134888092237018,5.6213420782032e-4
sparse,exponential,100.000,50,0,0,min,0.0131609260950231,0.0135006877159709,5.4077732239836e-4
sparse,exponential,100.000,10,0,0.1,min,0.0126839562126784,0.0126866042786194,4.89053914182741e-5
sparse,exponential,100.000,20,0,0.1,min,0.0126873167542351,0.0126853857305708,4.23759416898079e-5
sparse,exponential,100.000,50,0,0.1,min,0.0126895527963484,0.0126860716612628,4.35517711111015e-5
sparse,exponential,100.000,10,0,0.3,min,0.0106708007983521,0.010667685547822,4.52117981692192e-5
sparse,exponential,100.000,20,0,0.3,min,0.0106721292275434,0.010671451165318,3.88064744788119e-5
sparse,exponential,100.000,50,0,0.3,min,0.010675332456222,0.0106716825955559,3.78276014768014e-5
sparse,exponential,100.000,10,0.3,0,min,0.0146232614659543,0.0146245848751294,3.67732312236768e-5
sparse,exponential,100.000,20,0.3,0,min,0.0146233354307539,0.0146230611123705,3.76815626583593e-5
sparse,exponential,100.000,50,0.3,0,min,0.0146190543492885,0.0146193604892148,3.73021274968243e-5
sparse,exponential,100.000,10,0.3,0.1,min,0.0137406204336394,0.0137410677327779,3.74170623003722e-5
sparse,exponential,100.000,20,0.3,0.1,min,0.013740200607605,0.0137412046953205,3.32773882025773e-5
sparse,exponential,100.000,50,0.3,0.1,min,0.0137393709728995,0.0137448346524593,3.93061209927655e-5
sparse,exponential,100.000,10,0.3,0.3,min,0.0116218202863168,0.011624348079097,3.21563467293132e-5
sparse,exponential,100.000,20,0.3,0.3,min,0.011620066482163,0.0116205745027208,3.0955110541912e-5
sparse,exponential,100.000,50,0.3,0.3,min,0.0116203714385982,0.0116269513352132,3.74150139155512e-5
sparse,gompertz,100.000,10,0,0,min,0.0130173583698422,0.0134917888197584,5.9133593502918e-4
sparse,gompertz,100.000,20,0,0,min,0.0131597202805319,0.0135068129794118,5.5182581945886e-4
sparse,gompertz,100.000,50,0,0,min,0.0130352429932419,0.0134845988779734,5.8115535250266e-4
sparse,gompertz,100.000,10,0,0.1,min,0.0126341025404049,0.0126503956985272,1.5675773039776e-4
sparse,gompertz,100.000,20,0,0.1,min,0.0126059217249673,0.0126474475700188,2.1425060867615e-4
sparse,gompertz,100.000,50,0,0.1,min,0.0126093284895196,0.0126489345124874,2.1278545595608e-4
sparse,gompertz,100.000,10,0,0.3,min,0.0106411034713629,0.0106450330249314,3.73589659659963e-5
sparse,gompertz,100.000,20,0,0.3,min,0.0106455023946431,0.0106454189191948,3.54797463316291e-5
sparse,gompertz,100.000,50,0,0.3,min,0.0106487596725628,0.0106511875045435,3.63139731839008e-5
sparse,gompertz,100.000,10,0.3,0,min,0.0146123497032557,0.0146111359832614,3.4306430376406e-5
sparse,gompertz,100.000,20,0.3,0,min,0.0146186720150672,0.014621079477727,3.38849764098467e-5
sparse,gompertz,100.000,50,0.3,0,min,0.0146159561231746,0.0146183903654431,3.65764312593024e-5
sparse,gompertz,100.000,10,0.3,0.1,min,0.013700569031472,0.0137024785629323,3.78174033190184e-5
sparse,gompertz,100.000,20,0.3,0.1,min,0.0136913521592882,0.0136932113996814,3.49970852565974e-5
sparse,gompertz,100.000,50,0.3,0.1,min,0.0136954893015121,0.0136987037128896,3.54979089691258e-5
sparse,gompertz,100.000,10,0.3,0.3,min,0.0115941430939746,0.0115957193932856,3.38004597469201e-5
sparse,gompertz,100.000,20,0.3,0.3,min,0.011589699409756401,0.0115906244117433,3.19503714862606e-5
sparse,gompertz,100.000,50,0.3,0.3,min,0.0115928206587943,0.0115954189562274,3.09718110147467e-5
sparse,lognormal,100.000,10,0,0,min,0.0138865848670038,0.0138832389978136,4.40129793609534e-5
sparse,lognormal,100.000,20,0,0,min,0.0138866968763929,0.0138843493362466,3.84961128879916e-5
sparse,lognormal,100.000,50,0,0,min,0.0138772546002401,0.0138801478802229,4.41820508588598e-5
sparse,lognormal,100.000,10,0,0.1,min,0.0130999513794938,0.0130957389191609,4.23594411143519e-5
sparse,lognormal,100.000,20,0,0.1,min,0.0130992387738571,0.0131001661033982,3.8324307711061e-5
sparse,lognormal,100.000,50,0,0.1,min,0.0130958020797247,0.0130923476007851,3.85681055099998e-5
sparse,lognormal,100.000,10,0,0.3,min,0.0112094848026249,0.0112062215715476,3.71244846740492e-5
sparse,lognormal,100.000,20,0,0.3,min,0.011201535468426,0.0112004297176079,3.82265490060407e-5
sparse,lognormal,100.000,50,0,0.3,min,0.0112002514617067,0.0111983840746,3.85515848869416e-5
sparse,lognormal,100.000,10,0.3,0,min,0.016466641257206,0.0164652905085215,3.66946090654355e-5
sparse,lognormal,100.000,20,0.3,0,min,0.0164589399152719,0.0164618431116849,3.73629344177877e-5
sparse,lognormal,100.000,50,0.3,0,min,0.0164562034670942,0.0164576104931938,4.12301827361796e-5
sparse,lognormal,100.000,10,0.3,0.1,min,0.0155642771842173,0.0155598926331775,3.6749586493704e-5
sparse,lognormal,100.000,20,0.3,0.1,min,0.0155587012413226,0.0155629364716245,3.68645528208836e-5
sparse,lognormal,100.000,50,0.3,0.1,min,0.0155564594078996,0.015553628495598,3.62781709648343e-5
sparse,lognormal,100.000,10,0.3,0.3,min,0.0133275395692956,0.0133373630089796,1.203213189988e-4
sparse,lognormal,100.000,20,0.3,0.3,min,0.013340497893805,0.0133419535430017,3.5911492429254e-5
sparse,lognormal,100.000,50,0.3,0.3,min,0.0133389977435624,0.013340016860989,2.88558623007531e-5
sparse,weibull,100.000,10,0,0,min,0.0131345654576738,0.013492440483218,5.4793978323848e-4
sparse,weibull,100.000,10,0,0,min,0.0131345654576738,0.013492440483218,5.4793978323848e-4
sparse,weibull,100.000,20,0,0,min,0.0131016009466126,0.0134888138705892,5.6213366855989e-4
sparse,weibull,100.000,20,0,0,min,0.0131016009466126,0.0134888138705892,5.6213366855989e-4
sparse,weibull,100.000,50,0,0,min,0.0131609286373955,0.0135006877159709,5.4077245432173e-4
sparse,weibull,100.000,50,0,0,min,0.0131609286373955,0.0135006877159709,5.4077245432173e-4
sparse,weibull,100.000,10,0,0.1,min,0.0114235373874124,0.0114076452296445,1.563104288232e-4
sparse,weibull,100.000,10,0,0.1,min,0.0114235373874124,0.0114076452296445,1.563104288232e-4
sparse,weibull,100.000,20,0,0.1,min,0.0114031626716549,0.0113982920261835,3.87466185847656e-5
sparse,weibull,100.000,20,0,0.1,min,0.0114031626716549,0.0113982920261835,3.87466185847656e-5
sparse,weibull,100.000,50,0,0.1,min,0.0114079626268736,0.0114050674025231,4.14616025921054e-5
sparse,weibull,100.000,50,0,0.1,min,0.0114079626268736,0.0114050674025231,4.14616025921054e-5
sparse,weibull,100.000,10,0,0.3,min,0.0103203688094077,0.0103164870465499,4.64183461430389e-5
sparse,weibull,100.000,10,0,0.3,min,0.0103203688094077,0.0103164870465499,4.64183461430389e-5
sparse,weibull,100.000,20,0,0.3,min,0.0103243380320059,0.0103264752392319,4.05972266978033e-5
sparse,weibull,100.000,20,0,0.3,min,0.0103243380320059,0.0103264752392319,4.05972266978033e-5
sparse,weibull,100.000,50,0,0.3,min,0.010324280309025,0.0103216249437266,3.72560837759814e-5
sparse,weibull,100.000,50,0,0.3,min,0.010324280309025,0.0103216249437266,3.72560837759814e-5
sparse,weibull,100.000,10,0.3,0,min,0.0146232429828791,0.0146245848751294,3.6798742444572e-5
sparse,weibull,100.000,10,0.3,0,min,0.0146232429828791,0.0146245848751294,3.6798742444572e-5
sparse,weibull,100.000,20,0.3,0,min,0.0146233112966565,0.0146229164815526,3.76812033749146e-5
sparse,weibull,100.000,20,0.3,0,min,0.0146233112966565,0.0146229164815526,3.76812033749146e-5
sparse,weibull,100.000,50,0.3,0,min,0.0146177282200135,0.0146175559281181,3.97602585530874e-5
sparse,weibull,100.000,50,0.3,0,min,0.0146177282200135,0.0146175559281181,3.97602585530874e-5
sparse,weibull,100.000,10,0.3,0.1,min,0.0135571752978949,0.0135608625117704,3.9380097062897e-5
sparse,weibull,100.000,10,0.3,0.1,min,0.0135571752978949,0.0135608625117704,3.9380097062897e-5
sparse,weibull,100.000,20,0.3,0.1,min,0.013555548886694,0.0135542144934928,3.32101818033179e-5
sparse,weibull,100.000,20,0.3,0.1,min,0.013555548886694,0.0135542144934928,3.32101818033179e-5
sparse,weibull,100.000,50,0.3,0.1,min,0.0135596856375171,0.0135603592005254,3.66358583375635e-5
sparse,weibull,100.000,50,0.3,0.1,min,0.0135596856375171,0.0135603592005254,3.66358583375635e-5
sparse,weibull,100.000,10,0.3,0.3,min,0.0112392179568233,0.0112412390876533,3.68047515548702e-5
sparse,weibull,100.000,10,0.3,0.3,min,0.0112392179568233,0.0112412390876533,3.68047515548702e-5
sparse,weibull,100.000,20,0.3,0.3,min,0.0112460763032738,0.0112440070916264,3.14714958819656e-5
sparse,weibull,100.000,20,0.3,0.3,min,0.0112460763032738,0.0112440070916264,3.14714958819656e-5
sparse,weibull,100.000,50,0.3,0.3,min,0.0112448333234835,0.0112440654078435,3.77659294758831e-5
sparse,weibull,100.000,50,0.3,0.3,min,0.0112448333234835,0.0112440654078435,3.77659294758831e-5
realistic, metabric_weibph,100.000,5,0,0.1,min,0.00205120724399936,2.38015480221198e-05,0.00205193096262797
realistic, metabric_weibph,100.000,5,0,0.0,min,0.00205207835803996,3.1121801441245e-05,0.00205274464065334
realistic, metabric_weibph,100.000,5,0,0.3,min,0.00205154386994493,2.81744736206747e-05,0.00205155490346927
