beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
allones,lognormal,100.000,10,0,0.1,min,0.00504624962851763,0.00488386511309979,2.3635519394875e-4
allones,lognormal,100.000,20,0,0.1,min,0.00293408497123354,0.00293337500747656,2.8264061235837e-5
allones,lognormal,100.000,50,0,0.1,min,0.00129193999452279,0.00132352335279114,5.35251627772962e-5
allones,lognormal,100.000,10,0,0.3,min,0.00417982471428672,0.0041754181375437,4.36414478194324e-5
allones,lognormal,100.000,20,0,0.3,min,0.00242742540749683,0.00235961759152646,1.0250291951889e-4
allones,lognormal,100.000,50,0,0.3,min,0.00105874167787044,0.00105774820919318,2.6056461433324e-5
allones,lognormal,100.000,10,0.3,0,min,0.00596524994935026,0.00596900981179182,2.94986367300898e-5
allones,lognormal,100.000,20,0.3,0,min,0.00320586054620633,0.00320225122551909,1.94917212704581e-5
allones,lognormal,100.000,50,0.3,0,min,0.00125049781599663,0.00125367408221621,2.30515555749752e-5
allones,lognormal,100.000,10,0.3,0.1,min,0.00568600182195811,0.0056847864086155,2.78718129757936e-5
allones,lognormal,100.000,20,0.3,0.1,min,0.00307437856096496,0.00307454123823163,1.76499306948442e-5
allones,lognormal,100.000,50,0.3,0.1,min,0.00124159113462672,0.0012437737024146,2.20648350328239e-5
allones,lognormal,100.000,10,0.3,0.3,min,0.00491647052201875,0.00492579564687485,7.20010557993407e-5
allones,lognormal,100.000,20,0.3,0.3,min,0.00262584472644165,0.00266529553290704,8.96020404610439e-5
allones,lognormal,100.000,50,0.3,0.3,min,9.9356199208764e-4,9.8787826073001e-4,1.99793382361867e-5
allones,weibull,100.000,10,0,0,min,0.0049502833909997,0.00498527025127666,1.1489278244997e-4
allones,weibull,100.000,10,0,0,min,0.0049502833909997,0.00498527025127666,1.1489278244997e-4
allones,weibull,100.000,20,0,0,min,0.00277659154865476,0.00277638126771124,2.85457425133535e-5
allones,weibull,100.000,20,0,0,min,0.00277659154865476,0.00277638126771124,2.85457425133535e-5
allones,weibull,100.000,50,0,0,min,0.00114951419637864,0.00115293598656387,2.46078717247218e-5
allones,weibull,100.000,50,0,0,min,0.00114951419637864,0.00115293598656387,2.46078717247218e-5
allones,weibull,100.000,10,0,0.1,min,0.00469767606779438,0.0046996732729604,4.59203124305807e-5
allones,weibull,100.000,10,0,0.1,min,0.00469767606779438,0.0046996732729604,4.59203124305807e-5
allones,weibull,100.000,20,0,0.1,min,0.00263182384497895,0.00262983437160758,2.07830701416494e-5
allones,weibull,100.000,20,0,0.1,min,0.00263182384497895,0.00262983437160758,2.07830701416494e-5
allones,weibull,100.000,50,0,0.1,min,0.00116504140746306,0.00119440989586047,4.92667656312424e-5
allones,weibull,100.000,50,0,0.1,min,0.00116504140746306,0.00119440989586047,4.92667656312424e-5
allones,weibull,100.000,10,0,0.3,min,0.00399108429575445,0.00399524634284988,4.40977846628373e-5
allones,weibull,100.000,10,0,0.3,min,0.00399108429575445,0.00399524634284988,4.40977846628373e-5
allones,weibull,100.000,20,0,0.3,min,0.00226581102919066,0.00226375057282968,1.62607415983673e-5
allones,weibull,100.000,20,0,0.3,min,0.00226581102919066,0.00226375057282968,1.62607415983673e-5
allones,weibull,100.000,50,0,0.3,min,9.6940509629303e-4,9.549960682807e-4,3.61887075317507e-5
allones,weibull,100.000,50,0,0.3,min,9.6940509629303e-4,9.549960682807e-4,3.61887075317507e-5
allones,weibull,100.000,10,0.3,0,min,0.00537585553144113,0.0053722756917185,2.50027214428522e-5
allones,weibull,100.000,10,0.3,0,min,0.00537585553144113,0.0053722756917185,2.50027214428522e-5
allones,weibull,100.000,20,0.3,0,min,0.00272473469659199,0.0026665084030229602,1.0943124444459e-4
